id;booking_id;booking_item_id;user_id;customer_email;event_id;event_title;ticket_type_id;ticket_type_name;ticket_code;qr_payload;status;issued_at;checked_in_at;created_at;updated_at
1;30401;22577;24472;worth with;19570;inside reorganisation even;32249;inasmuch um ack;mammoth boo tenant;boo oof on;ISSUED;2026-06-06T03:07:19;2026-06-05T16:55:07;2026-06-05T06:54:55;2026-06-05T13:22:24
2;30936;5487;4688;during;12608;finally;12910;though;ragged;ick;ISSUED;2026-06-05T12:19:20;2026-06-06T02:00:14;2026-06-05T23:53:12;2026-06-06T01:05:04
3;21723;3060;6619;gah;7922;service trolley up;13542;valuable oof formamide;pillory;about whether once;CHECKED_IN;2026-06-05T06:58:38;2026-06-05T15:36:36;2026-06-05T06:02:37;2026-06-05T14:18:05
4;26970;29626;21248;diligently unaware;163;whose;15068;wherever obstruct;wafer forenenst punctual;yum;ISSUED;2026-06-05T23:13:34;2026-06-05T18:13:17;2026-06-05T12:38:56;2026-06-05T09:05:16
5;10733;15159;19575;casket;3923;innovate out summarise;9966;brr;advertisement;nearly;CANCELLED;2026-06-05T17:30:55;2026-06-06T01:53:06;2026-06-05T19:16:19;2026-06-05T09:50:08
6;11436;11186;25065;retool;16852;prime;31142;toward ack questionable;easy devastation;swat ugh;CANCELLED;2026-06-05T07:05:23;2026-06-05T09:28:16;2026-06-05T17:38:34;2026-06-06T04:27:51
7;2655;15651;11133;ugh towards mothball;1018;coarse legging;12722;friendly;gallery although analyse;supposing;CANCELLED;2026-06-05T06:39:23;2026-06-05T12:48:36;2026-06-06T05:18:17;2026-06-05T14:39:16
8;10545;16295;30893;since;19436;whose;11270;lightly secret;cinch;meh versus gosh;CANCELLED;2026-06-05T15:47:42;2026-06-05T10:21:13;2026-06-06T01:30:47;2026-06-05T19:20:22
9;19665;11888;1276;congregate the reassuringly;24027;broadside;9399;cinch aftermath trustworthy;salty when quarrelsome;ocelot;ISSUED;2026-06-06T04:39:57;2026-06-05T15:14:50;2026-06-05T21:39:46;2026-06-05T15:24:21
10;16277;14004;5370;golden;9599;snoopy;30634;confound furthermore;yowza recompense;redraw;CANCELLED;2026-06-05T15:06:11;2026-06-05T12:22:34;2026-06-05T19:20:56;2026-06-05T19:35:42
